type,artist,song_title,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
hiphop,Jason Derulo,Get Ugly,66,0.0462,0.75,200492,0.683,1.32E-06,0.297,-4.829,0,0.12,111.066,0.539
hiphop,Nas,Ether,55,0.0401,0.573,277707,0.831,0,0.0909,-5.586,1,0.433,76.352,0.766
hiphop,Kid Cudi,King Wizard,53,0.0388,0.723,256240,0.61,0.0263,0.108,-7.572,1,0.0921,139.987,0.327
hiphop,Ivan B,Back to You,57,0.673,0.706,248059,0.56,8.57E-06,0.109,-10.261,1,0.172,128.01,0.16
hiphop,XXXTENTACION,Indecision,57,0.0159,0.581,124291,0.755,0.597,0.681,-7.515,1,0.0276,84.972,0.332
hiphop,Fabolous,Throw It In The Bag,57,0.165,0.852,231573,0.559,0,0.0761,-7.441,0,0.0376,86.018,0.673
hiphop,Tee Grizzley,Babies To Men,54,0.312,0.826,182491,0.657,2.22E-06,0.0373,-8.277,1,0.274,99.985,0.334
hiphop,Das EFX,They Want EFX,57,0.115,0.755,221400,0.459,0,0.0851,-12.84,0,0.358,98.454,0.597
hiphop,Hare Squead,100 Miles,54,0.635,0.775,169063,0.612,0,0.126,-7.753,0,0.0464,82.537,0.669
hiphop,Moneybagg Yo,Dice Game,54,0.265,0.823,129149,0.615,0,0.608,-6.833,1,0.313,142.96,0.454
hiphop,Trey Songz,Shootin Shots (feat. Ty Dolla $ign & Tory Lanez),63,0.287,0.536,190084,0.755,0,0.0634,-3.554,1,0.261,84.118,0.737
hiphop,Freeway,What We Do,54,0.00821,0.568,229107,0.893,0,0.308,-4.796,1,0.33,188.84,0.326
hiphop,XXXTENTACION,Maxipads for Everyone,56,0.151,0.753,109187,0.308,0.00864,0.115,-7.969,1,0.0909,121.105,0.0602
hiphop,Gorillaz,Kansas,61,0.0725,0.641,248493,0.792,0.513,0.175,-6.453,1,0.0272,87.069,0.67
hiphop,People Under The Stairs,San Francisco Knights,57,0.0364,0.749,271080,0.839,0,0.134,-9.173,0,0.231,87.587,0.64
hiphop,Trey Songz,Drugz,60,0.194,0.53,310192,0.605,0,0.145,-6.227,0,0.0512,143.047,0.419
hiphop,A Tribe Called Quest,Excursions,56,0.386,0.885,234627,0.608,0.0118,0.319,-10.809,1,0.169,95.748,0.707
hiphop,JAY Z,Dirt Off Your Shoulder / Lying From You,59,0.0104,0.557,244693,0.905,0,0.111,-4.506,1,0.267,160.013,0.799
hiphop,Tyga,Do My Dance,57,0.0036,0.844,214293,0.614,0.00349,0.148,-5.196,1,0.0728,153.959,0.754
hiphop,Big Sean,Blessings - Extended Version,56,0.285,0.751,301960,0.6,0,0.128,-8.11,0,0.395,118.397,0.137
hiphop,Salaam Remi,Come Through And Chill,55,0.135,0.481,278955,0.594,0.0006,0.121,-11.397,1,0.123,176.26,0.515
hiphop,NAV,With Me,56,0.205,0.809,174320,0.776,0,0.113,-4.746,0,0.224,155.037,0.697
hiphop,Ludacris,Act A Fool,62,0.221,0.568,270733,0.904,0,0.22,-2.497,1,0.349,109.331,0.799
hiphop,YBN Cordae,Old niggas,60,0.714,0.802,206811,0.616,0,0.0929,-9.74,1,0.712,91.894,0.606
hiphop,Future,Turn On The Lights,55,0.0409,0.596,248360,0.574,0,0.147,-9.373,0,0.212,131.075,0.439
hiphop,Lil Baby,I’m Straight,57,0.0106,0.736,192031,0.505,0,0.116,-10.06,1,0.295,139.974,0.171
hiphop,Quavo,GIVE IT TO EM (feat. Saweetie),59,0.013,0.879,182440,0.491,0,0.112,-7.459,0,0.339,152.008,0.224
hiphop,Quality Control,Hook Up,56,0.0682,0.882,207390,0.439,0,0.11,-8.663,0,0.129,125.046,0.467
hiphop,Key Glock,Maybach,56,0.0273,0.956,163280,0.551,0,0.147,-5.66,1,0.227,132.054,0.314
hiphop,Denzel Curry,Good Night,56,0.00349,0.771,236106,0.821,6.43E-05,0.108,-3.387,0,0.192,113.971,0.507
hiphop,mysticphonk,Cut Myself,59,0.0193,0.54,71915,0.465,0.289,0.0977,-11.717,0,0.0577,119.965,0.0381
hiphop,Wiz Khalifa,The Race,56,0.872,0.658,335613,0.748,5.59E-06,0.609,-6.323,1,0.201,151.876,0.571
hiphop,Blackalicious,Alphabet Aerobics,57,0.0196,0.65,133800,0.515,0,0.0974,-8.722,0,0.198,97.052,0.885
hiphop,B2K,Uh Huh,61,0.0881,0.855,223293,0.681,3.70E-06,0.0592,-4.955,1,0.0688,99.699,0.908
hiphop,Canesecco,Yeo,56,0.192,0.741,192000,0.826,0,0.0462,-6.328,0,0.0875,99.995,0.653
hiphop,Kin$oul,Members Only Shit,57,0.138,0.877,158067,0.803,9.19E-06,0.558,-6.021,1,0.337,129.965,0.675
hiphop,De La Ghetto,Sensacion Del Bloque,67,0.0977,0.709,182187,0.726,0,0.301,-7.129,1,0.0411,92.006,0.404
hiphop,Lupe Fiasco,WAV Files,55,0.0517,0.573,398202,0.738,7.93E-05,0.12,-5.855,0,0.283,207.852,0.565
hiphop,Aesop Rock,Preservation,55,0.0532,0.699,146533,0.697,0,0.22,-5.325,1,0.11,87.883,0.348
hiphop,Gang Starr,Moment Of Truth,58,0.0157,0.532,247333,0.819,0,0.371,-5.282,0,0.256,90.215,0.594
hiphop,Young Thug,Webbie (feat. Duke),56,0.123,0.696,235893,0.589,0,0.134,-7.033,0,0.295,78.52,0.273
hiphop,Mike WiLL Made-It,Check (with Nas & Rick Ross),59,0.105,0.566,216590,0.693,0,0.103,-5.009,1,0.241,81.637,0.732
hiphop,Aventura,Su Veneno,62,0.401,0.764,240707,0.574,0,0.11,-9.475,0,0.042,123.928,0.931
hiphop,Badshah,Proper Patola,63,0.485,0.77,178605,0.824,0,0.318,-6.491,0,0.0851,172.006,0.49
hiphop,Logic,Intro,54,0.603,0.511,182800,0.413,0,0.219,-10.839,1,0.0725,80.595,0.736
hiphop,Big Sean,Light,55,0.831,0.578,210507,0.608,0,0.108,-5.997,0,0.0507,84.932,0.199
hiphop,Kodak Black,Young Prodigy,56,0.109,0.839,189518,0.613,0,0.168,-5.685,1,0.327,136.081,0.533
hiphop,T.I.,24's,54,0.227,0.739,282907,0.725,0,0.0991,-4.301,1,0.203,162.06,0.582
hiphop,Kid Cudi,Swim In The Light,54,0.608,0.527,269227,0.379,0.383,0.11,-10.715,1,0.0407,165.132,0.116
hiphop,DJ Khaled,I Got the Keys (feat. Jay-Z & Future),56,0.00287,0.686,219759,0.623,0.00145,0.219,-3.425,1,0.13,140.171,0.176
hiphop,Scarface,On My Block,54,0.165,0.834,214533,0.917,0,0.0533,-3.194,1,0.205,82.766,0.601
hiphop,Joyner Lucas,Keep It 100,56,0.408,0.58,417377,0.911,0,0.188,-6.574,1,0.547,170.829,0.528
hiphop,A$AP Mob,Runner,55,0.0977,0.856,199987,0.548,0,0.115,-6.658,1,0.205,130.063,0.312
hiphop,Rage Against The Machine,Bombtrack,64,0.0239,0.459,243453,0.926,1.93E-05,0.183,-3.415,1,0.155,151.534,0.569
hiphop,Russ,Look,55,0.199,0.746,187559,0.544,1.82E-05,0.315,-6.748,0,0.0424,127.99,0.26
hiphop,Rick Ross,So Sophisticated,57,0.023,0.637,247267,0.863,0,0.628,-5.891,1,0.309,153.949,0.516
hiphop,KRS-One,MC's Act Like They Don't Know,61,0.0101,0.855,295933,0.798,0.000615,0.628,-4.018,1,0.237,90.429,0.855
hiphop,Action Bronson,Easy Rider,56,0.0339,0.422,259301,0.851,0,0.152,-4.031,1,0.0398,93.649,0.667
hiphop,Valee,I Got Whatever,56,0.00864,0.939,130893,0.4,0.0347,0.0756,-8.821,1,0.22,139.986,0.342
hiphop,TLC,What About Your Friends,59,0.0267,0.744,293600,0.851,0.00738,0.0989,-10.108,0,0.049,105.882,0.626
hiphop,LL Cool J,Headsprung,55,0.0129,0.574,267320,0.799,2.63E-05,0.0741,-5.734,1,0.0426,199.804,0.463
hiphop,Ying Yang Twins,Say I Yi Yi,54,0.00233,0.782,272507,0.627,1.27E-05,0.201,-6.509,0,0.115,94.967,0.485
hiphop,T.I.,Swagga Like Us (feat. Kanye West & Lil' Wayne),56,0.00163,0.58,327667,0.817,0,0.118,-5.009,1,0.214,89.008,0.238
hiphop,Twista,Slow Jamz (feat. Kanye West & Jamie Foxx),63,0.373,0.561,212147,0.764,0,0.157,-6.645,0,0.138,145.158,0.598
hiphop,Lucidious,Face the Truth,58,0.0384,0.699,216094,0.755,0,0.218,-7.177,0,0.213,128.194,0.204
hiphop,lil aaron,Escalade,56,0.0173,0.648,178890,0.72,0,0.118,-6.843,0,0.0526,120.005,0.421
hiphop,Isaiah Rashad,Ronnie Drake (feat. SZA),55,0.356,0.482,198298,0.779,0,0.173,-4.875,0,0.27,154.335,0.835
hiphop,Ace Hood,Hustle Hard Remix,53,0.00557,0.831,285693,0.74,0,0.302,-3.723,1,0.152,140.041,0.21
hiphop,Jack Harlow,DRIP DROP (feat. Cyhi The Prynce),53,0.127,0.673,203613,0.502,0,0.103,-6.645,1,0.432,99.013,0.349
hiphop,NxWorries,Get Bigger / Do U Luv,54,0.242,0.517,243973,0.774,2.56E-05,0.225,-6.925,0,0.323,77.874,0.817
hiphop,NAV,My Mind,56,0.0448,0.729,161107,0.716,0,0.244,-5.618,0,0.0873,143.063,0.604
hiphop,Flipp Dinero,Play Fair,56,0.118,0.534,226000,0.505,0,0.33,-8.11,1,0.248,120.066,0.06
hiphop,Plies,Ran Off On Da Plug Twice,55,0.059,0.868,153347,0.444,0,0.0727,-7.122,0,0.301,159.973,0.395
hiphop,Felly,Desert Eagle,52,0.194,0.655,237480,0.404,0,0.198,-8.161,0,0.426,113.748,0.442
hiphop,The Game,Wouldn't Get Far,57,0.152,0.439,251040,0.756,0,0.412,-5.341,0,0.289,94.188,0.686
hiphop,Kid Cudi,ILLusions,55,0.334,0.739,256227,0.489,0.00571,0.0943,-6.56,1,0.0335,96.013,0.78
hiphop,Flatbush Zombies,The Glory (feat. Denzel Curry),55,0.254,0.595,349598,0.578,0,0.37,-10.715,1,0.581,81.613,0.368
hiphop,Higher Brothers,Do It Like Me (feat. JID),56,0.00526,0.862,157714,0.647,0,0.112,-5.485,1,0.251,139.851,0.254
hiphop,Joey Bada$$,500 Benz,56,0.186,0.676,201818,0.763,1.92E-06,0.107,-7.604,0,0.198,87.967,0.624
hiphop,Smokepurpp,But I Still Respect Women,57,0.386,0.808,112941,0.543,0,0.118,-8.498,0,0.222,76.495,0.304
hiphop,Mike WiLL Made-It,Aries (YuGo) (feat. Pharrell & Station Wagon P),58,0.0107,0.853,271752,0.635,0,0.325,-3.82,0,0.0405,141.982,0.174
hiphop,Logic,Mos Definitely,55,0.0978,0.604,206293,0.872,0,0.121,-4.01,0,0.288,64.331,0.732
hiphop,2 Chainz,Saturday Night,54,0.452,0.644,271187,0.805,1.00E-05,0.11,-4.513,0,0.0975,115.915,0.461
hiphop,Mac Miller,Cut The Check (feat. Chief Keef),55,0.0596,0.832,170707,0.743,0,0.257,-6.706,1,0.228,100.004,0.522
hiphop,Benny Benni,"Maliante Hp (Remix) [feat. Anuel Aa, Farruko, Almighty, Darkiel, Bryant Myers, Nio Garcia & Noriel]",61,0.294,0.746,371232,0.872,0,0.223,-3.62,1,0.149,86.242,0.889
hiphop,Tory Lanez,48 Floors (feat. Mansa),56,0.725,0.443,223587,0.47,1.06E-06,0.101,-8.587,1,0.101,82.546,0.483
hiphop,BROCKHAMPTON,STUPID,57,0.117,0.773,216715,0.489,0,0.163,-6.025,1,0.141,69.985,0.596
hiphop,Monte Booker,Kolors ft. Smino,56,0.266,0.715,177856,0.396,2.07E-06,0.228,-11.057,0,0.199,129.537,0.64
hiphop,LL Cool J,Around The Way Girl,52,0.00268,0.614,248493,0.445,0.0194,0.335,-17.091,0,0.424,202.191,0.626
hiphop,Dru Hill,These Are The Times,58,0.13,0.717,249507,0.483,0,0.0866,-9.314,0,0.0284,109.961,0.352
hiphop,The Notorious B.I.G.,Ready To Die,57,0.0633,0.724,264547,0.841,3.68E-05,0.487,-5.713,1,0.309,84.991,0.476
hiphop,Gunna,No Joke,57,0.0926,0.873,195097,0.404,2.23E-06,0.104,-9.726,0,0.519,77.52,0.193
hiphop,Wisin,Vacaciones,71,0.246,0.777,238813,0.911,0,0.257,-3.223,0,0.173,96.017,0.704
hiphop,Logic,Never Enough,54,0.0382,0.677,262560,0.865,0,0.228,-4.254,0,0.0604,136.996,0.622
hiphop,Lecrae,Blessings,56,0.00373,0.753,231053,0.609,0,0.347,-4.381,1,0.117,140.304,0.439
hiphop,"Royce Da 5'9""",Cocaine,57,0.131,0.725,213692,0.573,2.17E-06,0.0892,-4.193,1,0.137,86.002,0.205
hiphop,Aminé,STFU2,56,0.463,0.787,104493,0.54,0.000497,0.135,-8.05,1,0.513,80.03,0.636
hiphop,Fetty Wap,Strawberry Kush,54,0.207,0.851,144370,0.592,0,0.117,-6.395,1,0.0752,153.223,0.799
hiphop,Dizzy Wright,Looking Up (feat. Euroz),55,0.05,0.678,207640,0.585,0,0.226,-6.906,0,0.239,88.939,0.339
hiphop,Kevin Gates,Satellites,52,0.0473,0.713,221600,0.886,0,0.168,-3.879,0,0.12,140.032,0.775
hiphop,BROCKHAMPTON,STAINS,57,0.474,0.643,179151,0.662,0,0.237,-7.226,0,0.0993,113.022,0.645
hiphop,Kodak Black,Vibin In This Bih,56,0.0171,0.71,169927,0.579,0,0.105,-5.724,1,0.212,163.992,0.305
hiphop,Ca$h Out,She Twerkin,55,0.000644,0.837,172467,0.762,0,0.113,-4.073,1,0.0508,142.009,0.334
hiphop,Mustard,Lil Baby,56,0.377,0.657,259413,0.474,1.26E-06,0.449,-8.977,1,0.0528,100.036,0.324
hiphop,Ab-Soul,Illuminate (feat. Kendrick Lamar),56,0.384,0.719,306730,0.855,0,0.0696,-5.977,0,0.39,132.83,0.504
hiphop,Public Enemy,He Got Game,53,0.0736,0.825,286200,0.639,0.0224,0.0612,-6.607,1,0.189,97.389,0.866
hiphop,Kid Cudi,Immortal,53,0.147,0.587,301840,0.925,1.04E-05,0.502,-1.982,1,0.155,84.959,0.561
hiphop,Jay Rock,Rotation 112th (feat. Rich The Kid) - Remix,56,0.0847,0.804,297827,0.752,0.000101,0.106,-4.496,0,0.248,87.967,0.358
hiphop,Cozz,Knock Tha Hustle - Remix,54,0.035,0.685,250187,0.872,0,0.228,-5.828,1,0.294,85.85,0.546
hiphop,Moneybagg Yo,Doin’ It,54,0.00789,0.812,168313,0.774,1.68E-05,0.098,-4.222,1,0.137,145.015,0.679
hiphop,Nicky Jam,Live It Up - Official Song 2018 FIFA World Cup Russia,71,0.00573,0.582,207977,0.944,1.27E-06,0.547,-0.928,0,0.185,143.97,0.8
hiphop,Abhi The Nomad,Sex n' Drugs,55,0.299,0.831,217778,0.32,0,0.0757,-7.916,1,0.143,80.935,0.319
hiphop,Desiigner,Liife,60,0.11,0.684,197680,0.612,0,0.331,-6.007,0,0.289,77.495,0.295
hiphop,2Pac,Ghetto Gospel,69,0.0997,0.795,238053,0.615,0,0.0793,-5.498,0,0.0471,80.535,0.673
hiphop,Lil Durk,Treacherous,55,0.0535,0.734,179789,0.533,0,0.094,-7.105,0,0.528,150.742,0.269
hiphop,Gucci Mane,On God,56,0.0458,0.707,126175,0.52,0,0.0967,-7.639,1,0.164,160.019,0.369
hiphop,Mac Miller,Lucky Ass Bitch,55,0.0114,0.728,256251,0.601,0,0.249,-6.472,0,0.251,146,0.22
hiphop,G Herbo,Some Nights,55,0.0978,0.404,198553,0.926,0,0.102,-4.986,0,0.734,85.96,0.211
hiphop,Lil Wayne,Nothing but Trouble - Instagram Models,58,0.0172,0.724,217984,0.691,1.68E-05,0.194,-5.665,0,0.0324,126.002,0.236
hiphop,2 Chainz,OG Kush Diet,54,0.163,0.913,250947,0.632,2.62E-06,0.208,-5.07,1,0.385,139.892,0.344
hiphop,Gorillaz,She's My Collar (feat. Kali Uchis),59,0.00799,0.726,209560,0.815,0.081,0.112,-5.886,1,0.0313,140.158,0.462
hiphop,Wisin & Yandel,Ojalá,66,0.0465,0.703,234227,0.659,0,0.0586,-5.009,0,0.11,167.967,0.776
hiphop,GoldLink,Rough Soul,60,0.0273,0.795,181026,0.529,0.000129,0.0938,-18.345,0,0.0605,117.009,0.419
hiphop,Kid Ink,Do Me Wrong,61,0.144,0.738,190547,0.654,5.61E-05,0.0974,-5.346,0,0.129,154.006,0.621
hiphop,DJ Drama,"Wishing Remix (feat. Chris Brown, Fabolous, Trey Songz, Jhene Aiko & Tory Lanez)",56,0.197,0.563,330387,0.691,0,0.0886,-4.464,0,0.382,108.406,0.567
hiphop,Flatbush Zombies,Leather Symphony (feat. A$AP Twelvyy),55,0.013,0.765,232864,0.497,0,0.139,-9.684,1,0.293,132.016,0.138
hiphop,Jeezy,Me OK,54,0.148,0.766,267493,0.763,0,0.48,-4.882,0,0.209,140.546,0.64
hiphop,Young Dolph,"Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)",54,0.535,0.823,306024,0.642,0,0.121,-5.816,1,0.249,119.956,0.41
hiphop,Big Sean,Savage Time (& Metro Boomin),55,0.184,0.508,335333,0.496,0,0.333,-9.514,1,0.348,147.007,0.237
hiphop,Noel Torres,Me Interesas,62,0.712,0.779,176493,0.694,0,0.216,-5.685,1,0.0295,126.079,0.919
hiphop,Brennan Savage,Afterlife,61,0.0608,0.628,162000,0.53,0,0.0642,-9.663,0,0.0855,95.006,0.203
hiphop,Moneybagg Yo,Change Partners,54,0.156,0.729,193903,0.57,0,0.209,-5.44,1,0.277,159.95,0.66
hiphop,Trick Daddy,Sugar (Gimme Some) (feat. Cee-Lo & Ludacris),55,0.144,0.822,245107,0.673,0,0.323,-6.141,0,0.228,120.02,0.85
hiphop,dvsn,Hallucinations,64,0.0681,0.765,246294,0.398,8.48E-06,0.14,-8.993,0,0.037,95.976,0.348
hiphop,Hopsin,Rip Your Heart Out (feat. Tech N9ne),54,0.29,0.669,231493,0.827,0,0.291,-5.937,0,0.319,79.223,0.164
hiphop,City Morgue,SHINNERS13,60,0.0966,0.542,102587,0.908,0,0.134,-2.857,1,0.0575,78.048,0.509
hiphop,Digable Planets,Where I'm From,55,0.188,0.876,275342,0.42,0.00186,0.0668,-18.246,0,0.279,98.304,0.706
hiphop,MED,Burgundy Whip - Instrumental,57,0.0423,0.733,160904,0.525,0.876,0.124,-13.11,0,0.0671,95.099,0.568
hiphop,Bobby Brown,My Prerogative,57,0.0655,0.762,291560,0.625,0,0.252,-10.481,1,0.0562,110.163,0.696
hiphop,DMX,How's It Goin' Down,55,0.462,0.907,244760,0.665,0.00134,0.133,-7.991,1,0.276,90.473,0.816
hiphop,A$AP Rocky,Hell (feat. Santigold),56,0.114,0.669,231787,0.489,0,0.184,-9.13,1,0.137,142.218,0.258
hiphop,BADBADNOTGOOD,Time Moves Slow,55,0.471,0.619,273864,0.381,0.0318,0.101,-10.691,0,0.0523,139.929,0.312
hiphop,Jaden Smith,U,57,0.0958,0.314,285397,0.641,1.23E-06,0.35,-7.036,0,0.0506,142.495,0.0874
hiphop,Yung Pinch,1997,57,0.117,0.762,149371,0.566,0,0.121,-7.186,0,0.279,142.957,0.342
hiphop,A.CHAL,LA DUEÑA (feat. Darell),59,0.134,0.847,222107,0.451,5.21E-06,0.0855,-7.867,0,0.137,139.944,0.667
hiphop,Tech N9ne,B.I.T.C.H. (feat. T-Pain),54,0.00574,0.674,267640,0.621,0,0.641,-9.062,1,0.203,140.011,0.416
hiphop,The Game,Red Nation,59,0.0908,0.39,229480,0.886,0,0.441,-3.234,1,0.351,175.193,0.297
hiphop,ScHoolboy Q,By Any Means,56,0.0204,0.799,214333,0.338,0,0.132,-8.249,1,0.16,129.967,0.0982
hiphop,50 Cent,Ayo Technology,54,0.0943,0.442,247947,0.774,0,0.0329,-5.538,0,0.198,139.775,0.377
hiphop,HoodRich Pablo Juan,Tik Tok (feat. BlocBoy JB),54,0.145,0.865,175639,0.525,0,0.0974,-9.858,1,0.347,140.037,0.557
hiphop,Russ,Back To You,55,0.00571,0.47,207547,0.603,0,0.221,-5.44,0,0.455,65.05,0.27
hiphop,Noname,Don't Forget About Me,57,0.43,0.736,219028,0.468,0.13,0.0885,-6.116,1,0.236,75.599,0.678
hiphop,Smokepurpp,Krispy Kreme,55,0.00401,0.799,155704,0.612,0,0.104,-7.652,0,0.245,77.48,0.68
hiphop,G-Eazy,Guala,59,0.0637,0.837,313987,0.538,0,0.0791,-8.921,1,0.288,109.943,0.318
hiphop,G-Eazy,One Of Them,59,0.00268,0.597,199520,0.724,0,0.111,-7.764,1,0.0487,110.012,0.325
hiphop,Boogie,Nigga Needs,54,0.226,0.608,165307,0.571,0,0.146,-8.368,0,0.423,58.312,0.201
hiphop,Yunggoth✰,Coke (feat. Lil Peep),59,0.125,0.799,143180,0.466,0,0.136,-9.055,1,0.0648,114.082,0.0558
hiphop,Lil Durk,Instigator,55,0.0309,0.67,161066,0.711,0,0.107,-5.274,1,0.417,111.373,0.433
hiphop,Too $hort,Shake That Monkey,55,0.000577,0.937,278707,0.695,3.19E-05,0.295,-6.932,1,0.134,99.997,0.457
hiphop,Zion & Lennox,Mi Tesoro (feat. Nicky Jam),66,0.0821,0.725,246653,0.711,0,0.0931,-4.544,1,0.0335,93.003,0.477
hiphop,Diddy,Victory (feat. The Notorious B.I.G. & Busta Rhymes),57,0.397,0.609,296267,0.731,0,0.664,-6.846,1,0.322,91.778,0.685
hiphop,Injury Reserve,Ttktv,57,0.814,0.63,401933,0.449,0.575,0.106,-8.549,0,0.252,158.861,0.0738
hiphop,JAY Z,Points Of Authority / 99 Problems / One Step Closer,60,0.00272,0.547,295827,0.951,1.14E-05,0.0862,-4.079,0,0.151,95.031,0.51
